Litigation,,131,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,981.18,4-21-2015 0:00,131
Litigation,,131,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,117.21,5-31-2014 0:00,131
Litigation,,2,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,-600.04,8-17-2014 0:00,2
Litigation,,2,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,-851.14,5-20-2015 0:00,2
Litigation,,2,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,-414.55,3-12-2015 0:00,2
Litigation,,2,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,639.22,4-6-2015 0:00,2
Litigation,,124,Carolyn,Andrea,Zimmerman,AB234578H ,6-1-1975,Litigation,-576.77,11-15-2015 0:00,124
Litigation,,131,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,981.18,4-21-2015 0:00,131
Litigation,,131,Jossef,H,Wright,TX593671R ,12-24-1971,Litigation,117.21,5-31-2014 0:00,131
Litigation,,134,Gigi,N,Wilson,NN127097A ,2-17-1969,Litigation,700.31,8-30-2015 0:00,134
Litigation,,134,Gigi,N,Wilson,NN127097A ,2-17-1969,Litigation,856.18,2-13-2015 0:00,134
Litigation,,136,Ovidiu,V,Welcker,VS900080V ,5-15-1980,Litigation,NULL,NULL,NULL
Litigation,,140,Sharon,B,Walton,GP708932C ,1-29-1991,Litigation,591.86,6-12-2014 0:00,140
Litigation,,140,Sharon,B,Walton,GP708932C ,1-29-1991,Litigation,999.22,8-4-2014 0:00,140
Litigation,,141,David,M,Walters,EK194226N ,6-7-1991,Litigation,-110.78,6-1-2014 0:00,141
Litigation,,141,David,M,Walters,EK194226N ,6-7-1991,Litigation,-743.74,6-11-2014 0:00,141
Litigation,,143,John,L,Varkey Chudukatil,JF707977U ,7-25-1970,Litigation,-116.86,4-5-2015 0:00,143
Litigation,,143,John,L,Varkey Chudukatil,JF707977U ,7-25-1970,Litigation,550.21,4-11-2015 0:00,143
Litigation,,143,John,L,Varkey Chudukatil,JF707977U ,7-25-1970,Litigation,-932.84,10-24-2014 0:00,143
Litigation,,146,Terry,J,Vande Velde,TP950945U ,7-28-1985,Litigation,264.72,2-2-2014 0:00,146
Litigation,,146,Terry,J,Vande Velde,TP950945U ,7-28-1985,Litigation,-879.63,10-1-2015 0:00,146
Litigation,,146,Terry,J,Vande Velde,TP950945U ,7-28-1985,Litigation,-785.7,5-11-2014 0:00,146
Litigation,,151,Peter,J,Tsoflias,VU028142X ,10-22-1983,Litigation,-643.77,10-27-2015 0:00,151
Litigation,,153,Guy,R,Tomic,IA990430L ,9-16-1978,Litigation,-174.72,3-13-2014 0:00,153
